	Completeness	Name	Class	Definition
M00038	0.14285714285714285	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	(K00453,K00463) (K01432,K14263,K07130) K00486 K01556 K00452 K03392 (K10217,K23234)
M00845	0.14285714285714285	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K22478 K00145 K00821 K09065 K01438 K01940 K01755
M00958	0.14285714285714285	Adenine ribonucleotide degradation, AMP => Urate	Pathway modules; Nucleotide metabolism; Purine metabolism	((K01490 (K01081,K19970,K03787,K18550)),((K01081,K19970,K11751,K03787,K02566,K08693) (K01488,K19572,K05810))) (K03783,K03784,K09913,K05810) (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) K01081,K19970,K03787 5'-nucleotidase [EC:3.1.3.5] [RN:R01126 R00183] K18550 IMP-specific 5'-nucleotidase [EC:3.1.3.99] [RN:R01126] K11751,K02566,K08693 5'-nucleotidase [EC:3.1.3.5] [RN:R00183] K01488,K19572,
M00552	0.14285714285714285	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01684 K00883 K01631 K00134 K00927 K00883 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58] [RN:R03387] K01631 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21] [RN:R01064]
M00527	0.14285714285714285	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K10206 K01778 (K01586,K12526)
M00026	0.14285714285714285	Histidine biosynthesis, PRPP => histidine	Pathway modules; Amino acid metabolism; Histidine metabolism	(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152) K01523,K11755,
M00009	0.125	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)
M00036	0.125	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826 ((K00166+K00167,K11381)+K09699+K00382) (K00253,K00249) (K01968+K01969) (K05607,K13766) K01640 K00166+K00167,K11381 2-oxoisovalerate dehydrogenase [EC:1.2.4.4] [RN:R07601 R07602] K09699 2-oxoisovalerate dehydrogenase [EC:2.3.1.168] [RN:R04097]
M00114	0.125	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225
M00525	0.1111111111111111	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586
M00016	0.1111111111111111	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)
M00622	0.1111111111111111	Nicotinate degradation, nicotinate => fumarate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K18029+K18030 K14974 K18028 K15357 K13995 K01799 K14974 6-hydroxynicotinate 3-monooxygenase [EC:1.14.13.114] [RN:R08764] K18028 2,5-dihydroxypyridine 5,6-dioxygenase [EC:1.13.11.9] [RN:R09125] K15357 N-formylmaleamate deformylase [EC:3.5.1.106] [RN:R09126]
M00532	0.1	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437
M00840	0.09090909090909091	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K14652 K22100 -- K01633 K13941 K22099 K00287 K22100 2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one isomerase/dehydratase [EC:4.2.1.160] [RN:R11072] K01633 7,8-dihydroneopterin aldolase [EC:4.1.2.25] [RN:R03504] K13941 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:2.7.6.3 2.5.1.15] [RN:R03503 R03066 R03067]
M00374	0.07692307692307693	Dicarboxylate-hydroxybutyrate cycle	Pathway modules; Energy metabolism; Carbon fixation	(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861,K25774) K14534 K15016 K00626
M00375	0.07142857142857142	Hydroxypropionate-hydroxybutylate cycle	Pathway modules; Energy metabolism; Carbon fixation	(K01964+K15037+K15036) K15017 K15039 K15018 K15019 K15020 K05606 (K01848+K01849) (K15038,K15017) K14465 (K14466,K18861,K25774) K14534 K15016 K00626
M00055	0.06666666666666667	N-glycan precursor biosynthesis	Pathway modules; Glycan metabolism; Glycan biosynthesis	K01001 (K07432+K07441) K03842 K03843 K03844 K03845 K03846 K03847 K03846 K00729 K03848 K03849 K03850 K07432+K07441 ALG13+ALG14
