	Completeness	Name	Class	Definition
M00033	0.2	Ectoine biosynthesis, aspartate => ectoine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00928 K00133 K00836 K06718 K06720
M00577	0.2	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01906 K00652 (K00833,K19563) K01935 K01012
M00573	0.2	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K16593 K00652 K19563 K01935 K01012
M00373	0.16666666666666666	Ethylmalonyl pathway	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847
M00526	0.16666666666666666	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K03340 (K01586,K12526)
M00063	0.16666666666666666	CMP-3-deoxy-D-manno-octulosonate biosynthesis, ribulose-5P => CMP-KDO	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	K06041 K01627 K03270 K00979 K01627 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)
M00072	0.16666666666666666	N-glycosylation by oligosaccharyltransferase	Pathway modules; Glycan metabolism; Glycan biosynthesis	K07151+K12666+K12667+K12668+K12670-K12669-K00730-K12691-K26502-K28202 K12666 OST1; oligosaccharyltransferase complex subunit alpha (ribophorin I) K12667 SWP1; oligosaccharyltransferase complex subunit delta (ribophorin II) K12668 OST2; oligosaccharyltransferase complex subunit epsilon K12670 WBP1; oligosaccharyltransferase complex subunit beta K12669 OST3; oligosaccharyltransferase complex subunit gamma K00730 OST4; oligosaccharyl transferase complex subunit OST4 K12691 OST5; oligosaccharyl transferase complex subunit OST5 K26502 TMEM258; transmembrane protein 258 K28202 KRTCAP2; dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2
M00935	0.16666666666666666	Methanofuran biosynthesis	Pathway modules; Energy metabolism; Methane metabolism	K09733 K19793 K07144 K18933 K06914 K07072
M00609	0.16666666666666666	Cysteine biosynthesis, methionine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00789 K17462 K01243 K07173 K17216 K17217
M00376	0.15384615384615385	3-Hydroxypropionate bi-cycle	Pathway modules; Energy metabolism; Carbon fixation	(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709
M00375	0.14285714285714285	Hydroxypropionate-hydroxybutylate cycle	Pathway modules; Energy metabolism; Carbon fixation	(K01964+K15037+K15036) K15017 K15039 K15018 K15019 K15020 K05606 (K01848+K01849) (K15038,K15017) K14465 (K14466,K18861,K25774) K14534 K15016 K00626
M00845	0.14285714285714285	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K22478 K00145 K00821 K09065 K01438 K01940 K01755
M00552	0.14285714285714285	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01684 K00883 K01631 K00134 K00927 K00883 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58] [RN:R03387] K01631 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21] [RN:R01064]
M00527	0.14285714285714285	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K10206 K01778 (K01586,K12526)
M00114	0.125	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225
M00016	0.1111111111111111	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)
M00525	0.1111111111111111	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586
M00532	0.1	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437
M00740	0.08333333333333333	Methylaspartate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	(K01647,K01659) K27802 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024 K01659 2-methylcitrate synthase [EC:2.3.3.5] [RN:R00351]
